입국자 국가,국가코드,입국 연월,입국자 수
미국,275,202101,12013
미국,275,202102,11212
미국,275,202103,12321
미국,275,202104,12944
미국,275,202105,17278
미국,275,202106,18159
미국,275,202107,21775
미국,275,202108,20561
미국,275,202109,19227
미국,275,202110,21607
미국,275,202111,20123
미국,275,202112,16805
미국,275,202201,15570
미국,275,202202,15845
미국,275,202203,16968
미국,275,202204,30882
미국,275,202205,42490
미국,275,202206,55444
미국,275,202207,53942
미국,275,202208,50299
미국,275,202209,60435
미국,275,202210,73560
미국,275,202211,64861
미국,275,202212,63352
